E0_keV,Eprime_keV,E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_au,Q_absolute_au
662.0,224.44508597188863,437.5549140281114,30.0,480.90217616462235,60.226945146635074,60.226945146635074
662.0,480.8821425680973,181.11785743190268,30.0,343.66217453041924,26.151786707650874,26.151786707650874
662.0,253.61582661347236,408.38417338652766,30.0,460.17888727915795,59.9337206630815,59.9337206630815
662.0,625.8884100584418,36.111589941558236,30.0,335.150135870607,-30.186376061290346,30.186376061290346
662.0,602.5308909097652,59.46910909023484,30.0,332.28742014368333,-20.038367385446215,20.038367385446215
662.0,560.3259634050524,101.67403659494755,30.0,331.25451618867805,-2.3562950902657245,2.3562950902657245
662.0,229.35491217923294,432.64508782076706,30.0,477.3523738827224,60.22063720202434,60.22063720202434
662.0,135.2004674566159,526.7995325433841,30.0,549.0900893361085,57.871932211020095,57.871932211020095
662.0,363.1947981373882,298.8052018626118,30.0,392.0572675654577,51.89392925140271,51.89392925140271
662.0,548.1910688278741,113.80893117212588,30.0,331.95165504719967,2.473440999936635,2.473440999936635
662.0,518.1225194216469,143.87748057835313,30.0,335.56896083234966,13.765769700572202,13.765769700572202
662.0,654.1610219271879,7.838978072812097,30.0,340.73168181462046,-42.552575116002586,42.552575116002586
662.0,189.57613325392822,472.4238667460718,30.0,506.7659941326654,59.824313244181376,59.824313244181376
662.0,245.6105484980992,416.3894515019008,30.0,465.77586388652145,60.07719130873024,60.07719130873024
662.0,505.4055591428989,156.59444085710112,30.0,337.89325602780167,18.209308432771735,18.209308432771735
662.0,628.1400913857409,33.8599086142591,30.0,335.5107578264586,-31.170691143861497,31.170691143861497
662.0,511.8420592493588,150.15794075064122,30.0,336.65882187447176,15.986803896635251,15.986803896635251
662.0,497.1347863955502,164.86521360444982,30.0,339.65200276906825,20.9827244426305,20.9827244426305
662.0,234.65479781952857,427.34520218047146,30.0,473.547827482999,60.194926750780475,60.194926750780475
662.0,321.7090696836721,340.2909303163279,30.0,415.76848486058446,56.43377270050005,56.43377270050005
662.0,629.482920523443,32.517079476557,30.0,335.7328251338596,-31.757963944202512,31.757963944202512
662.0,510.76467919040965,151.23532080959035,30.0,336.85719409348275,16.36265525237302,16.36265525237302
662.0,321.8548710239168,340.1451289760832,30.0,415.68027028051245,56.421332009151065,56.421332009151065
662.0,238.2810943027315,423.7189056972685,30.0,470.9613308757787,60.16574792018675,60.16574792018675
662.0,480.5526775882285,181.4473224117715,30.0,343.7509293881435,26.2526220608697,26.2526220608697
662.0,617.1986752833307,44.80132471666934,30.0,333.8971692502526,-26.394982840217658,26.394982840217658
662.0,324.8520929304954,337.1479070695046,30.0,413.8740676667925,56.16038269490109,56.16038269490109
662.0,405.9971243700124,256.0028756299876,30.0,370.88300391480794,44.878027864335294,44.878027864335294
662.0,209.55643812886063,452.44356187113937,30.0,491.8097125479721,60.1475932311278,60.1475932311278
662.0,462.2821337883763,199.7178662116237,30.0,349.1245113892272,31.592441685189723,31.592441685189723
662.0,448.0452844774718,213.9547155225282,30.0,353.9095260889538,35.40514424700475,35.40514424700475
662.0,431.89813916483337,230.10186083516663,30.0,359.94163400771816,39.35712303330008,39.35712303330008
662.0,317.63454581026474,344.36545418973526,30.0,418.2467371116195,56.77202991752097,56.77202991752097
662.0,191.81379768884324,470.18620231115676,30.0,505.073707484521,59.87215895348188,59.87215895348188
662.0,419.7772123713122,242.2227876286878,30.0,364.87388740989053,42.06498059328893,42.06498059328893
662.0,414.56873673967596,247.43126326032404,30.0,367.09591822571423,43.16115667225837,43.16115667225837
